use#v#1161188,использовать
leg#n#5568420,нога человека
resident#n#10543112,резидент
child#n#9937051,ребёнок
location#n#27365,место
individual#a#495505,отдельный,частный
reduce#v#243282,сокращать,сократить
control#n#13849418,контроль, власть
learn#v#600349,
affect#v#137133,менять
first#a#1014459,первый
sea#n#9449666,море
enter#v#1084999,вступать
only#r#11221,только
absorb#v#601765,поглощать
inflammation#n#14359944,воспаление
increase#v#156409,увеличиваться,увеличиться,прибыть,усугублять
bone#n#5277400,кость
length#n#5136466,длина
port#n#8651532,порт
vein#n#7103814,вена (анатомия)
service#n#578562,сервис
drug#n#3252323,биологически активные вещества
organism#n#4475,тварь,организм
gas#n#14504664,газ
separate#v#2627934,разводить,отделять,развести,расстаться
like#a#1413922,такой же
mineral#n#14686753,минерал
low#a#1215141,дешёвый,низкий
American#a#2938825,американский
breed#n#8118376,порода (животноводство)
show#v#2153218,представлять,обнаруживать,обнаружить,указывать,указать,представить
naturalize#v#941788,
South_America#n#9463304,Южная Америка
insect#n#2162607,насекомые
couple#n#13765745,
duty#n#1132241,долг (философия)
Soviet_Union#n#9025654,Россия
muscle#n#5296796,мышцы
colony#n#8390976,колония
horse#n#2377103,домашняя лошадь
Canada#n#8837973,Канада
turn#v#1911251,вращаться,повернуться,повернуть,крутить
flow#v#2070438,
western#a#828657,западный
mixture#n#14610438,смесь
course#n#886144,курс
pain#n#14346126,боль
round#a#2048059,круглый
neck#n#9390630,участок, надел
pay#v#2256551,заработная плата,платить
gesture#n#6889359,жест
top#n#8681598,верх
right#n#5182180,
Africa#n#9212308,Африка
raceme#n#13153245,кисть (соцветие)
atom#n#14609699,атом
district#n#8569713,дистрикт
support#v#2561834,поддержать,поддерживать,поддерживать,защищать,защитить
weight#n#4578578,вес
type#n#5848697,
Germany#n#8784821,Германия
defeated#a#698057,побежденный
thin#a#991420,тонкий,редкий,жидкий,худой
plan#v#1641910,
law#n#8458195,право
lake#n#9351810,озеро
measurement#n#998911,измерение
growing#a#3082307,
perennial#a#681740,многолетний
sell#v#2247246,толкать
room#n#4112987,комната
hard#a#1154418,твердый
death#n#7370091,смерть
formation#n#8443418,формирование
king#n#10251212,монарх
destroy#v#1566925,уничтожать,разрушить,уничтожить
battle#n#955670,битва
division#n#8230126,деление
analyze#v#646245,
convert#v#381684,
retention#n#812259,ретенция
collection#n#7968050,коллекция
vine#n#13121436,
appearance#n#4681322,
practice#n#411260,
prevent#v#2455370,мешать,предупреждать,предупредить
production#n#914791,продукция
introduce#v#1645979,
brain#n#5488747,головной мозг
supply#v#2332196,доставить,поставить,доставлять
passage#n#201907,пассаж
office#n#3847186,офис
feature#n#5858316,
compose#v#1709353,
Japan#n#8940154,Япония
intend#v#711208,
categorization#n#1014654,
container#n#3099154,контейнер
appear#v#423043,появиться,появляться
oil#n#14991055,масло
hit#v#1407698,давать,дать,ткнуть,трахать,стукнуть
assume#v#2386868,вступать
relation#n#32220,
culture#n#5759791,культура
French#a#2969938,французский
shell#n#14782715,шелл
molecule#n#14706294,молекула
mammal#n#1864419,млекопитающие
raise#v#158311,водружать,вырастить,вырастить
religion#n#5955536,религия
doctrine#n#5952149,доктрина
soil#n#14868863,почва
Italy#n#8819530,Италия
belonging#n#7545205,
vehicle#n#4531608,транспортное средство
Spain#n#9045691,Испания
energy#n#11472635,энергия
presence#n#13980887,
bacteria#n#1351171,бактерии
court#n#8346380,суд
letter#n#6636668,письмо
bottom#n#8528313,
Florida#n#9094188,Флорида
function#v#1528454,
situation#n#13950416,
mouth#n#5309998,рот
cap#n#2958374,
house#n#3549540,жилище
strip#n#9472659,strip
fire#n#989024,огонь
tube#n#4500800,
wife#n#10800308,жена
impart#v#2084180,
store#v#2285938,
publish#v#969657,
marker#n#7284884,
European#a#2979870,европейский
fiber#n#14891040,текстильные волокна
salt#n#15035270,поваренная соль
solution#n#14613403,раствор
scale#n#13837554,чешуя
nature#n#4733982,природа
player#n#10459618,плеер
buttocks#n#5566889,ягодицы
loss#n#13348698,
human_body#n#5224424,человеческое тело
phonograph_record#n#3930191,грампластинка
Greece#n#8798733,Греция
fungus#n#13013628,грибы
specific#a#1106714,конкретный,специфический
section#n#6403644,секция
join#v#2439823,вступать,связать,соединять,объединить,поступать,связывать,поступить,соединить
pertain#v#2659801,
pod#n#13160826,pod
specify#v#949109,
fight#v#1093838,
bark#n#13183195,кора
field#n#8587527,
exercise#n#896250,физические упражнения
atom#n#14643403,атом
grain#n#9313683,зерно
enclose#v#2716988,
crucial#a#658802,
back#n#5566350,спина
trait#n#4623416,
play#n#7032045,play
car#n#2961779,автомобиль
opening#n#9402023,
fluid#n#14964038,флюид (физика)
steering_wheel#n#4320641,рулевое колесо
exist#v#2622766,существовать
vessel#n#5404676,сосуд
work#v#2418610,деятельность
business#n#8077878,
measure#v#648747,измерять,мерить
yield#v#2344167,сдаться,родить,сдаваться
black#a#393873,чёрный,чёрный,чернокожий,вороной
pressure#n#11515441,давление
metallic#a#1531539,металлический
adjust#v#150107,
weed#n#13105873,сорные растения
soft#a#1457415,ласковый,тихий,мягкий,мягкий,нежный
permit#v#803980,позволить,позволять
West#n#8700313,Запад
spot#v#2197640,обнаруживать,обнаружить
covering#n#9280855,
eat#v#1168667,кушать
school#n#8293641,школа
infection#n#14198031,инфекция
method#n#5668113,метод
occupy#v#2654741,занять,занимать
cook#v#1668067,
painter#n#10411352,живопись
temperature#n#5018974,температура
accept#v#2240906,
increase#n#7371276,
acid#n#14631699,кислота
conserve#v#2284977,
open#a#1656822,гласный,открытый,явный
former#a#1051000,прошлый,былой,прежний,бывший
surround#v#1469999,окружить,опоясывать
capacity#n#5210665,ёмкость
Scotland#n#8910324,Шотландия
agency#n#8354251,
berry#n#7758680,виноградина
see#v#2133754,признать,знакомиться,познакомиться,признавать
suit#v#2708690,масть,подойти
edible#a#832318,съедобный
rise#v#1972576,увеличиваться,увеличиться,вставать,встать,прибыть,прибыть,прибывать
throw#v#1511000,кидать
narrow#a#2572618,узкий,тесный
disorderliness#n#14522846,
protein#n#14752903,белки
free#a#1065188,свободный,свободный,свободный,свободный,вольный,самостоятельный,бесплатный
forest#n#9306921,лес
South#n#9073186,Юг
paper#n#14998823,бумага
principle#n#5922132,принцип
poet#n#10463768,поэт
state#n#8671935,государство
noise#n#7402109,шум
pigment#n#15014387,пигмент
growth#n#13510240,рост
glass#n#14905454,стекло
axis#n#6017958,axis
curve#n#7013729,кривая
Texas#n#9164256,Техас
race#n#7487797,
spot#n#6408287,
instrument#n#3579967,
ring#n#13898031,кольцо
assign#v#2233480,направить
wind#n#11546388,ветер
train#v#604693,обучать,воспитывать,воспитать,вырастить
cook#v#1669533,
spike#n#4282780,
induce#v#772482,
composer#n#9966711,композитор
rank#n#8448952,
volume#n#13801244,объём
church#n#8099479,чёрч
meat#n#7665463,мясо
accompany#v#2029396,аккомпанировать
northern_hemisphere#n#8629219,северное полушарие
authority#n#5203850,авторитет
subject#n#6612141,субъект
band#n#8265959,
giving#n#1088005,
monetary_value#n#5152365,стоимость
joint#n#5602838,сустав
day#n#15180180,ru:сутки
human#a#2754015,человеческий
film#n#6273220,фильм
heart#n#5927857,сердце
dentition#n#5289932,
get#v#2215637,доставать,достать,добывать
gratuity#n#13319724,чаевые
helping#n#7593928,
attempt#n#787849,покушение на преступление
taste#n#5723230,вкус
South_Africa#n#9021852,Южно-Африканская Республика
treatment#n#659325,
British#a#3033691,британский
absence#n#13984260,абсентеизм
southern_hemisphere#n#8670126,южное полушарие
speed#n#15307914,скорость
leader#n#9646208,лидер
cognition#n#23451,познание
lose#v#1102003,проиграть,проигрывать,утрачивать
deliver#v#1440941,доставить,передавать,передать,доставлять
flow#n#7420493,flow
father#n#10100638,отец
aircraft#n#2689427,воздушное судно
mean#n#6033377,среднее значение
public#a#1867145,гласный,государственный,народный,общий,открытый,общественный,публичный,казённый
frump#n#10133978,
painting#n#3882197,живопись
company#n#8074934,коммерческая организация
attention#n#5710222,внимание
deck#v#2754802,
being#n#13977471,бытие
report#v#967067,сообщать,сообщить
music#n#7034009,музыка
east#n#13854554,восток
reach#v#2024442,доставать,достать
clothing#n#3055525,одежда
plan#n#5907175,
act#v#2372362,представлять,представить
now#r#49971,днесь,теперь,сейчас,а сейчас,с этих пор,ныне,нынче
slant#n#6220813,
transmission#n#122186,передача
basic#a#1861659,простой,основной,основной,коренной,элементарный
injury#n#14309164,
image#n#5936904,образ (информация)
charge#n#6573933,заряд
drink#n#7901198,напиток
stream#n#9471510,ручей
heavy#a#1188475,тяжёлый,густой
Mediterranean#n#9372942,Средиземное море
jump#v#1967949,
support#n#1215009,
kingdom#n#14538407,королевство
Brazil#n#8872733,Бразилия
worker#n#9655706,трудовые ресурсы
kill#v#1326622,резать
board#n#8339911,
homo#n#2474924,люди (род)
Pacific#n#9405883,Тихий океан
rule#n#5854581,правило
normal#a#1598231,нормальный
blend#v#395719,мешать
pass#v#2054081,
colored#a#395623,
light#a#1189951,белый,плавный,ручной,светлый,лёгкий,пушистый
belief#n#5950141,
wine#n#7907701,вино
originate#v#1631641,происходить
pit#n#9416001,
West_Indies#n#8764887,
content#n#7971643,
run#v#1930264,
card#n#2965981,кард
live#v#2620422,проживать,существовать
agreement#n#5803052,
independence#n#14017633,независимость
society#n#7982754,общество
buy#v#2211988,
emit#v#2773266,
sun#n#9473312,солнце
New_Zealand#n#8994872,Новая Зеландия
item#n#6494090,
resistance#n#203133,resistance
insert#v#1424276,
signal#n#6804229,сигнал
dry#a#2562150,сухой
physicist#n#10447768,физик
target#v#1153025,
environment#n#13957629,энвайронмент
handle#n#3491080,ручка
garment#n#3423924,одежда
computer#n#3086983,компьютер
cause#n#7341157,причина
bar#n#2792510,бар
mind#n#5619057,ум
ability#n#5207437,
remember#v#611237,воссоздать,воссоздавать,вспомнить,вспоминать
think#v#691086,полагать
flower_head#n#11694556,
promote#v#2402779,произвести
sequence#n#8476263,последовательность
brother#n#9895920,сиблинги
state#v#1011267,фиксировать
blade#n#13152642,клинок
snake#n#1729333,змеи
food_fish#n#2515569,
name#v#1030757,именовать
supply#n#13799556,
operation#n#14032291,операция
art#n#2746552,искусство
appoint#v#2401347,
organize#v#2437377,
alcohol#n#7900542,спирты
eating#n#840028,
dish#n#3211629,
chemical_reaction#n#13468534,химическая реакция
way#n#416689,путь
announce#v#967903,оглашать,огласить
repair#v#261534,исправить
help#v#2553283,
sugar#n#7875260,сахар
part#n#13831419,
front#n#8591019,фронт
occupation#n#583425,
home_plate#n#3534081,
terrorist_organization#n#8409094,террористические организации
beam#n#11448137,
Atlantic#n#9232170,Атлантический океан
ratio#n#13841419,соотношение
meaning#n#6613680,
left#a#2040360,левый
natural#a#1574358,естественный
ear#n#5328447,ухо
medicine#n#6052606,медицина
ribbon#n#9432081,
performance#n#6904543,
spirit#n#14549784,дух (мифология)
experience#n#5993469,опытное знание
function#n#721817,функция
young#a#1651383,младой,молодой,юный
fasten#v#1343121,
removal#n#392407,
current#n#11463628,течение
standard#n#7275291,
strength#n#5036872,жёсткость
decoration#n#3174056,нагрудные знаки высших органов власти бнср
German#a#2969015,немецкий,германский,немецкий язык
philosopher#n#10443334,философ
team#n#8225481,производственная бригада
spread#n#7460496,спред
Egypt#n#8917311,Египет
transfer#v#2398228,перемещать,перенести
design#n#929892,дизайн
national_park#n#8618548,национальный парк
floor#n#3370438,пол (настил)
mother#n#10352098,мать
chain#n#9263527,цепь
capable#a#308813,способный
inhabit#v#2660511,
North#n#9075108,Север
nut#n#13157333,
larva#n#2313712,личинка
star#n#9467004,звезда
military#a#2775023,военный,военнослужащий
meal#n#7589261,приём пищи
rope#n#4115362,трос
evergreen#a#916665,вечнозелёный
payment#n#13299398,платёж
social#a#2809193,общественный,социальный
good#n#5167108,
position#n#6218486,
shoe#n#4207043,лёгкая обувь
desert#n#8522594,пустыня
difference#n#4756076,
urine#n#14879875,моча
statesman#n#10669601,государственный деятель
catch#v#727710,ловить
community#n#8240723,община (традиционная)
absorb#v#603650,поглощать
tall#a#2393670,высокий,длинный
university#n#8303084,университет
Israel#n#8810400,Израиль
thick#a#2419189,крутой,толстый,густой,частый,плотный
utter#v#985856,произнести
egg#n#1463098,яйцо
arise#v#2631867,происходить
atmosphere#n#14548451,атмосфера
Old_World#n#8579991,Старый Свет
stock#n#13354848,
emotion#n#7495208,эмоция
Rome#n#8824749,Рим
native#a#1039765,родной,коренной,аборигенный,отечественный
road#n#4103160,дорога
begin#v#2614382,вступать,наступить
bank#n#9236472,банк
fasten#v#1346574,
frequency#n#15303267,частота
happening#n#7298313,хэппенинг
leave#v#2013448,оставлять,оставить,покинуть,расстаться,завещать
lower_berth#n#3699299,
possession#n#811126,владение
leather#n#14783901,кожевенное производство
network#n#8451269,сеть
strike#v#1412877,давать,дать,ударять,биться
inlet#n#9336622,
desire#n#4952234,
equipment#n#3298959,
dark#a#273948,тёмный,густой,мрачный,тусклый
theory#n#5998364,теория
agent#n#9213796,агент
statement#n#6735202,
let_go_of#v#1477180,
transport#v#1957669,перенести
Alaska#n#9077478,Аляска
drive#v#1934845,править
come#v#1853188,приехать,наступить
ridge#n#13924741,кряж
student#n#10685137,студент
frame#n#3396310,фрейм
official#n#10392072,должностное лицо
recognize#v#730579,опознать,узнавать
situate#v#1578506,
policy#n#5910115,
army#n#8208160,армия
address#n#7253354,адрес
union#n#8249977,объединение
toe#n#4451352,палец ноги
feel#v#1775456,
major#a#1475771,
sensation#n#5720023,
specify#v#1023982,
fear#n#7534492,страх
print#v#1749530,печать
exposure#n#5051127,
milk#n#7860018,молоко
adopt#v#2351720,
own#v#2209474,обладать,владеть,признать,признавать
bed#n#2821967,кровать
representation#n#5935308,представление
limb#n#5567877,
spend#v#2271905,проживать,тратить
tension#n#14399593,напряжение
text#n#6399623,
year#n#15228587,год
artery#n#5341325,артерия
street#n#4341737,улица
New_York#n#9141944,Нью-Йорк (штат)
spore#n#11568306,споры
valley#n#9491734,долина
end#v#2615799,окончить,заканчивать,прекращать,прекратить,оканчивать
dialect#n#7170369,диалект
tilt#n#5075249,
good#a#1126910,хороший,твёрдый,добрый,полезный,благой
fur#n#14788240,шкура
Arizona#n#9079774,Аризона
deviate#v#2667330,
count#n#635829,
Ireland#n#8908903,Ирландия (остров)
lizard#n#1677105,ящерицы
unite#v#2637244,объединить
sport#n#434156,спорт
skill#n#5645403,навык
extent#n#13964158,
beginning#n#7305628,
then#r#118527,ж,тут,же,ведь,тогда,потом,затем,так,то,дальше,итак
record#v#1002259,фиксировать
name#v#1028104,именовать
machine#n#3705309,машина
Italian#a#2968612,итальянский
crown#n#5315640,
dance#n#7033652,танец
continue#v#2685709,
settle#v#1992472,решить,фиксировать,решать
importance#n#5175788,
home#n#8577045,
coerce#v#2510211,насиловать
deprive#v#2318230,
warm#a#2541266,тёплый,горячий
influence#n#5201419,
fall#v#1976312,
administer#v#2314601,
mark#n#5745098,марк
preparation#n#1145325,
feed#v#1184318,кормить
boat#n#2861626,лодка
nose#n#3836375,нос
aspect#n#5859151,аспект
oxygen#n#14672278,кислород
return#v#2008888,возвращаться,платить,возвратиться
Washington#n#9093291,Вашингтон
conduct#v#2450374,разводить,развести
meeting#n#8324519,собрание
actor#n#9784701,актёр
Mississippi#n#9378977,Миссисипи (штат)
perennial#n#11573691,многолетние растения
Asian#a#2980070,азиатский
writing#n#931533,письмо (письменность)
influence#v#2542223,нажимать
range#n#9426609,
row#n#8448447,
disposition#n#4630969,предрасположенность
inflict#v#750288,
data#n#8479331,данные
application#n#950950,
attack#n#458747,
model#n#5898856,модель
perceive#v#592914,
projection#n#5783290,проекция
iron#n#14666595,железо
dealing#n#1137693,
deep#a#696211,густой,густой,глубокий,низкий
contact#n#40035,контакт
lip#n#5313305,губы
empty#v#450647,
coat#v#1266847,
feature#n#5609513,
goal#n#5989760,цель
limit#v#236085,
daughter#n#10012375,дочь
boundary#n#8529331,граница
troop#n#8291275,
column#n#8446009,колонна (архитектура)
political#a#2868676,политический
coil#n#13898609,
box#n#2886585,коробка
wield#v#2209346,владеть
lens#n#3661810,
document#n#3222161,документ
note#n#6516453,нота (музыка)
subject#v#2115410,
mountain_peak#n#9383019,вершина местности
circuit#n#3037347,цикл
delivery#n#318033,
Philippines#n#9003614,Филиппины
depression#n#14427564,депрессия
palm#n#5573329,palm
tool#n#4459089,инструмент
motivate#v#1653541,
gunpowder#n#15040881,дымный порох
title#n#6354890,титул
table#n#8283156,
rod#n#4107268,род
celebrate#v#2496526,
intensity#n#5107058,
equip#v#514258,
finger#n#5574137,палец руки
lumber#n#14967718,лесоматериалы
official#a#1636580,официальный,казённый,служебный
playing#n#102011,
meet#v#2026953,
coin#n#13409418,монета
war#n#14004888,война
orbit#n#8629606,орбита
give#v#888984,доставить,доставить,дарить,передавать,передать,подарить,доставлять,доставлять
cord#n#13623644,
grape#n#7774656,виноград (ягода)
contend#v#1092746,соревноваться
security#n#14562870,безопасность
nucleus#n#5442503,ядро
stop#v#1864781,оставлять,оставить,останавливаться,останавливаться,переставать,прекращаться,останавливать,прекратить,прекратиться
attack#v#1121587,атаковать
weapon#n#4572661,оружие
inclination#n#6206319,
footing#n#13813124,
window#n#4594951,окно
rate#n#15311467,
stomach#n#5403033,желудок человека
better#v#205454,
season#v#2196212,время года,выдерживать,выдержать
voice#n#7125323,голос
secrete#v#2149701,отделять
tone#n#7096765,
age#n#4931280,
expose#v#2116512,раскрыть,обличать,раскрывать,обличить
send#v#1439891,направить
burn#v#379335,жарить,кипеть
sheet#n#9454964,
sense#n#5685345,ощущение
wire#n#4601816,проволока
parent#n#10419190,родители
problem#n#14434009,проблема
close#a#448955,близкий,спёртый,тесный,частый,плотный
full#a#1086845,полный,сытый
juice#n#7939988,сок
turkey#n#1796799,турция
limit#n#5131322,предел
bowed_stringed_instrument#n#2883788,смычковые струнные музыкальные инструменты
annual#n#11573257,
see#v#692380,признать,знакомиться,познакомиться,признавать
dramatist#n#10050002,драматург
communication#n#6262268,общение
suspend#v#148583,
annual#a#681291,
president#n#10488144,президент
stay#v#2733337,останавливаться,бытность
open#v#1348685,раскрыть,открываться,открыться,раскрывать
examine#v#2135744,проверить
measure#n#175261,
bag#n#2776042,мешок
membrane#n#3749252,
examination#n#637093,контрольная работа
store#n#13388243,
formal#a#1045598,официальный,казённый
active#a#37570,действительный,боевой,активный
flight#n#8237455,полёт
channel#n#6270551,чаннел
syllable#n#6315661,слог
ore#n#14712661,руда
moth#n#2285853,моли
vent#n#9493680,
wide#a#2571278,широкий
chamber#n#5400087,
vertebrate#n#1474323,позвоночные
tract#n#8691133,урочище
offer#v#2301687,представлять,представить
general#a#1105084,общий,всеобщий,генеральный
chemist#n#9933282,
expose#v#2144506,раскрыть,обличать,раскрывать,обличить
love#n#5821331,любовь
lead#v#2003830,возглавлять,привести,приводить,возглавить
wave#n#7366790,волна
electron#n#9294810,ru:успехи физических наук
allow#v#2260270,давать,дать,разрешать
gun#n#3472916,
frond#n#13175289,вайя
pole#n#3983015,поле
natural_language#n#6916947,естественный язык
deposit#n#11465491,
won#a#1455267,
align#v#465234,
soldier#n#10641415,солдат
unify#v#368338,
rotate#v#2399036,вращаться
modify#v#171140,
smooth#a#2244586,плавный,ровный,гладкий,текучий
classified#a#416228,
hot#a#1259404,острый,тёплый,горячий,жаркий
climb#n#7385010,
admixture#n#14511182,
secretion#n#13575119,секреция (физиология)
sphere#n#14537641,сфера
sauce#n#7845388,соус
evidence#n#5832256,
liberation#n#96322,liberation
blow#n#7353281,блоу
Jesus#n#11103646,Иисус Христос
opinion#n#5954491,мнение
sexual_activity#n#845915,секс
Pakistan#n#8998272,Пакистан
subshrub#n#13139466,полукустарник
circle#n#13896141,окружность
detail#n#13832132,
extremity#n#5567541,
Andes#n#9219489,Анды
wake_up#v#18519,
judgment#n#5846466,
personal#a#1771841,личный
drawing#n#7016235,рисунок
chew_over#v#632042,
share#n#13363150,
United_Kingdom#n#8879115,Великобритания
male#a#1479992,мужской
care#n#656128,
pitch#n#107092,килевая качка
Australian#a#3057136,австралийский
measuring_instrument#n#3739416,измерительный прибор
undertaking#n#797381,
agreement#n#6783066,
nail#n#5589324,
feeder#n#9301903,
north#r#245502,северный,север,полночь,норд
value#v#696992,ценность,стоимость
uterus#n#5526736,матка женщины
